season,tim,grup,role,role_asli,pemain,link,negara,catatan
14,Dewa United Esports,Subs,EXP,EXP Lane,Kimura,/mobilelegends/Kimura,Indonesia,DNP
14,Dewa United Esports,Subs,Mid,Middle,Hijumee,/mobilelegends/Hijumee,Indonesia,
14,Dewa United Esports,Subs,Gold,Gold Lane,Watt,/mobilelegends/Watt,Indonesia,
14,Dewa United Esports,Staff,,,Raizan,/mobilelegends/Raizan,Indonesia,Head Coach
14,Dewa United Esports,Staff,,,Ervan,/mobilelegends/Erpang,Indonesia,Analyst
14,EVOS Glory,Main,EXP,EXP Lane,Saykots,/mobilelegends/Saykots,Indonesia,
14,EVOS Glory,Main,Jungle,Jungler,Anavel,/mobilelegends/Anavel,Indonesia,
14,EVOS Glory,Main,Mid,Middle,Claw Kun,/mobilelegends/Claw_Kun,Indonesia,
14,EVOS Glory,Main,Gold,Gold Lane,Branz,/mobilelegends/Branz,Indonesia,
14,EVOS Glory,Main,Roam,Roamer,DreamS,/mobilelegends/Dreams,Indonesia,
14,EVOS Glory,Subs,Jungle,Jungler,Van,/mobilelegends/VAN,Indonesia,
14,EVOS Glory,Subs,Mid,Middle,Depezett,/mobilelegends/Bondolz,Indonesia,
14,EVOS Glory,Subs,Gold,Gold Lane,Natco,/mobilelegends/Natco,Indonesia,
14,EVOS Glory,Subs,Roam,Roamer,Alevaa,/mobilelegends/index.php?title=Alevaa&action=edit&redlink=1,Indonesia,
14,EVOS Glory,Former,EXP,EXP Lane,Fluffy,/mobilelegends/Fluffy,Indonesia,Left
14,EVOS Glory,Former,Gold,Gold Lane,Douma,/mobilelegends/Erlan,Indonesia,Left
14,EVOS Glory,Former,Roam,Roamer,Panser,/mobilelegends/Panser,Indonesia,Left
14,EVOS Glory,Former,,,G,/mobilelegends/G,Indonesia,Left
14,EVOS Glory,Former,,,Naitomea,/mobilelegends/Naitomea,Indonesia,Left
14,EVOS Glory,Staff,,,Age,/mobilelegends/Age,Indonesia,Head Coach
14,EVOS Glory,Staff,,,Caleb,/mobilelegends/Caleb,Indonesia,Assistant Coach
14,Fnatic ONIC,Main,EXP,EXP Lane,Rezzz,/mobilelegends/Rezzz,Indonesia,
14,Fnatic ONIC,Main,Jungle,Jungler,Kairi,/mobilelegends/Kairi,Philippines,
14,Fnatic ONIC,Main,Mid,Middle,Sanz,/mobilelegends/S_A_N_Z,Indonesia,
14,Fnatic ONIC,Main,Gold,Gold Lane,CW,/mobilelegends/CW,Indonesia,
14,Fnatic ONIC,Main,Roam,Roamer,Kiboy,/mobilelegends/Kiboy,Indonesia,
14,Fnatic ONIC,Subs,Jungle,Jungler,Alberttt,/mobilelegends/Alberttt,Indonesia,
14,Fnatic ONIC,Subs,Flex,Flex,Marsha,/mobilelegends/Marsha,Indonesia,DNP
14,Fnatic ONIC,Former,EXP,EXP Lane,Lutpiii,/mobilelegends/Lutpiii,Indonesia,Left
14,Fnatic ONIC,Staff,,,Yeb,/mobilelegends/Yeb,Philippines,Head Coach
14,Fnatic ONIC,Staff,,,Adi,/mobilelegends/Adi,Indonesia,Assistant Coach
14,Fnatic ONIC,Staff,,,Zetsuna,/mobilelegends/index.php?title=Zetsuna&action=edit&redlink=1,Indonesia,Analyst
14,Geek Fam ID,Main,EXP,EXP Lane,Veldora,/mobilelegends/Vell,Indonesia,
14,Geek Fam ID,Main,Jungle,Jungler,Vincentt,/mobilelegends/Vincentt,Indonesia,
14,Geek Fam ID,Main,Mid,Middle,Aboy,/mobilelegends/A_B_O_Y,Indonesia,
14,Geek Fam ID,Main,Gold,Gold Lane,Caderaa,/mobilelegends/Caderaa,Indonesia,
14,Geek Fam ID,Main,Roam,Roamer,Baloyskie,/mobilelegends/Baloyskie,Philippines,
14,Geek Fam ID,Subs,EXP,EXP Lane,Gobs,/mobilelegends/Gobs,Indonesia,
14,Geek Fam ID,Subs,Gold,Gold Lane,Mas4ko,/mobilelegends/Mas4Ko,Indonesia,
14,Geek Fam ID,Staff,,,Bluffzy,/mobilelegends/Bluffzy,Philippines,Head Coach
14,Geek Fam ID,Staff,,,Dora,/mobilelegends/Dora,Indonesia,Analyst
14,Rebellion Esports,Main,EXP,EXP Lane,Karss,/mobilelegends/Karss,Indonesia,
