season,week,day,timestamp,tim1,kode1,skor1,skor2,kode2,tim2,status,mvp,mvp_link,mvp_kode
15,1,3,1741527000,Team Liquid ID,TLID,2,1,NAVI,Natus Vincere,selesai,AeronnShikii,/mobilelegends/AeronnShikii,TLID
15,2,1,1741940100,ONIC,ONIC,1,2,GEEK,Geek Fam ID,selesai,Caderaa,/mobilelegends/Caderaa,GEEK
15,2,1,1741950900,Dewa United Esports,DEWA,2,0,NAVI,Natus Vincere,selesai,Maybe,/mobilelegends/Maybeee,DEWA
15,2,2,1742023800,Natus Vincere,NAVI,1,2,AE,Alter Ego,selesai,Nino,/mobilelegends/Nino,AE
15,2,2,1742034600,RRQ Hoshi,RRQ,2,0,TLID,Team Liquid ID,selesai,Idok,/mobilelegends/Idok,RRQ
15,2,2,1742045400,Bigetron by Vitality,BTR,1,2,EVOS,EVOS,selesai,Erlan,/mobilelegends/Erlan,EVOS
15,2,3,1742110200,Geek Fam ID,GEEK,0,2,BTR,Bigetron by Vitality,selesai,EMANN,/mobilelegends/EMANN,BTR
15,2,3,1742121000,Alter Ego,AE,2,0,EVOS,EVOS,selesai,Rinee,/mobilelegends/Rinee,AE
15,2,3,1742131800,Team Liquid ID,TLID,2,0,DEWA,Dewa United Esports,selesai,Kyou,/mobilelegends/Kyou,TLID
15,3,1,1742544900,ONIC,ONIC,2,1,DEWA,Dewa United Esports,selesai,Kairi,/mobilelegends/Kairi,ONIC
15,3,1,1742560200,Natus Vincere,NAVI,0,2,EVOS,EVOS,selesai,Kyy,/mobilelegends/Kyy,EVOS
15,3,2,1742628600,Team Liquid ID,TLID,1,2,GEEK,Geek Fam ID,selesai,Caderaa,/mobilelegends/Caderaa,GEEK
15,3,2,1742639400,ONIC,ONIC,2,0,BTR,Bigetron by Vitality,selesai,Savero,/mobilelegends/Savero,ONIC
15,3,2,1742650200,RRQ Hoshi,RRQ,2,1,AE,Alter Ego,selesai,Idok,/mobilelegends/Idok,RRQ
15,3,3,1742715000,Bigetron by Vitality,BTR,2,1,NAVI,Natus Vincere,selesai,Anavel,/mobilelegends/Anavel,BTR
15,3,3,1742725800,Geek Fam ID,GEEK,1,2,RRQ,RRQ Hoshi,selesai,Idok,/mobilelegends/Idok,RRQ
15,3,3,1742736600,Alter Ego,AE,2,1,DEWA,Dewa United Esports,selesai,Rinee,/mobilelegends/Rinee,AE
15,4,1,1744964100,Natus Vincere,NAVI,1,2,ONIC,ONIC,selesai,Kairi,/mobilelegends/Kairi,ONIC
15,4,1,1744974900,EVOS,EVOS,1,2,DEWA,Dewa United Esports,selesai,Maybe,/mobilelegends/Maybeee,DEWA
15,4,2,1745047800,Team Liquid ID,TLID,1,2,BTR,Bigetron by Vitality,selesai,Anavel,/mobilelegends/Anavel,BTR
15,4,2,1745058600,RRQ Hoshi,RRQ,2,1,EVOS,EVOS,selesai,Hazle,/mobilelegends/Hazle,RRQ
15,4,2,1745069400,Geek Fam ID,GEEK,2,1,AE,Alter Ego,selesai,Caderaa,/mobilelegends/Caderaa,GEEK
15,4,3,1745134200,ONIC,ONIC,1,2,TLID,Team Liquid ID,selesai,Yehezkiel,/mobilelegends/Yehezkiel,TLID
15,4,3,1745145000,Bigetron by Vitality,BTR,2,0,RRQ,RRQ Hoshi,selesai,Moreno,/mobilelegends/Moreno,BTR
15,4,3,1745155800,Dewa United Esports,DEWA,1,2,GEEK,Geek Fam ID,selesai,Aboy,/mobilelegends/A_B_O_Y,GEEK
15,5,1,1745568900,Geek Fam ID,GEEK,2,0,NAVI,Natus Vincere,selesai,Caderaa,/mobilelegends/Caderaa,GEEK
15,5,1,1745579700,EVOS,EVOS,2,0,ONIC,ONIC,selesai,Alberttt,/mobilelegends/Alberttt,EVOS
15,5,2,1745652600,Dewa United Esports,DEWA,0,2,RRQ,RRQ Hoshi,selesai,Sutsujin,/mobilelegends/Sutsujin,RRQ
15,5,2,1745663400,Alter Ego,AE,1,2,TLID,Team Liquid ID,selesai,Yehezkiel,/mobilelegends/Yehezkiel,TLID
