laga_id,game,kode,jenis,urutan,hero
S10R008,1,ONIC,pick,5,Franco
S10R008,1,ONIC,ban,1,Yve
S10R008,1,ONIC,ban,2,Kadita
S10R008,1,ONIC,ban,3,Masha
S10R008,1,ONIC,ban,4,Atlas
S10R008,1,ONIC,ban,5,Julian
S10R008,2,AURA,pick,1,Esmeralda
S10R008,2,AURA,pick,2,Natalia
S10R008,2,AURA,pick,3,Faramis
S10R008,2,AURA,pick,4,Beatrix
S10R008,2,AURA,pick,5,Rafaela
S10R008,2,AURA,ban,1,Fanny
S10R008,2,AURA,ban,2,Akai
S10R008,2,AURA,ban,3,Wanwan
S10R008,2,AURA,ban,4,Dyrroth
S10R008,2,AURA,ban,5,Balmond
S10R008,2,ONIC,pick,1,Chou
S10R008,2,ONIC,pick,2,Ling
S10R008,2,ONIC,pick,3,Valentina
S10R008,2,ONIC,pick,4,Popol and Kupa
S10R008,2,ONIC,pick,5,Diggie
S10R008,2,ONIC,ban,1,Yve
S10R008,2,ONIC,ban,2,Kadita
S10R008,2,ONIC,ban,3,Masha
S10R008,2,ONIC,ban,4,Lylia
S10R008,2,ONIC,ban,5,Julian
S10R008,3,AURA,pick,1,Benedetta
S10R008,3,AURA,pick,2,Fanny
S10R008,3,AURA,pick,3,Lylia
S10R008,3,AURA,pick,4,Beatrix
S10R008,3,AURA,pick,5,Ruby
S10R008,3,AURA,ban,1,Akai
S10R008,3,AURA,ban,2,Franco
S10R008,3,AURA,ban,3,Wanwan
S10R008,3,AURA,ban,4,Balmond
S10R008,3,AURA,ban,5,Chou
S10R008,3,ONIC,pick,1,Phoveus
S10R008,3,ONIC,pick,2,Paquito
S10R008,3,ONIC,pick,3,Faramis
S10R008,3,ONIC,pick,4,Brody
S10R008,3,ONIC,pick,5,Masha
S10R008,3,ONIC,ban,1,Yve
S10R008,3,ONIC,ban,2,Kadita
S10R008,3,ONIC,ban,3,Valentina
S10R008,3,ONIC,ban,4,Esmeralda
S10R008,3,ONIC,ban,5,Uranus
S10R009,1,AE,pick,1,Esmeralda
S10R009,1,AE,pick,2,Julian
S10R009,1,AE,pick,3,Valentina
S10R009,1,AE,pick,4,Clint
S10R009,1,AE,pick,5,Natalia
S10R009,1,AE,ban,1,Akai
S10R009,1,AE,ban,2,Faramis
S10R009,1,AE,ban,3,Masha
S10R009,1,AE,ban,4,Dyrroth
S10R009,1,AE,ban,5,Thamuz
S10R009,1,RBL,pick,1,Paquito
S10R009,1,RBL,pick,2,Barats
S10R009,1,RBL,pick,3,Yve
S10R009,1,RBL,pick,4,Beatrix
S10R009,1,RBL,pick,5,Mathilda
S10R009,1,RBL,ban,1,Fanny
S10R009,1,RBL,ban,2,Wanwan
S10R009,1,RBL,ban,3,Phoveus
S10R009,1,RBL,ban,4,Atlas
S10R009,1,RBL,ban,5,Claude
S10R009,2,AE,pick,1,Esmeralda
S10R009,2,AE,pick,2,Lancelot
S10R009,2,AE,pick,3,Julian
S10R009,2,AE,pick,4,Claude
S10R009,2,AE,pick,5,Natalia
S10R009,2,AE,ban,1,Faramis
S10R009,2,AE,ban,2,Akai
S10R009,2,AE,ban,3,Valentina
S10R009,2,AE,ban,4,Lylia
