season,kode,pemain_id,grup,role,negara,catatan,nama_periode,juara
11,RBL,Karss,Main,EXP,Indonesia,,Rebellion Zion,False
11,RBL,Vincentt,Main,Jungle,Indonesia,,Rebellion Zion,False
11,RBL,SwayLow,Main,Mid,Indonesia,,Rebellion Zion,False
11,RBL,Haiz,Main,Gold,Indonesia,,Rebellion Zion,False
11,RBL,Widjanarko,Main,Roam,Indonesia,,Rebellion Zion,False
11,RBL,Bigmac,Subs,EXP,Indonesia,,Rebellion Zion,False
11,RBL,SAEP,Former,EXP,Indonesia,Left,Rebellion Zion,False
11,RBL,Cikoo,Staff,,Indonesia,Coach,Rebellion Zion,False
11,RBL,Vivy,Staff,,Indonesia,Analyst,Rebellion Zion,False
11,RRQ,Lemon,Main,EXP,Indonesia,,Rex Regum Qeon,False
11,RRQ,Alberttt,Main,Jungle,Indonesia,,Rex Regum Qeon,False
11,RRQ,Clayyy,Main,Mid,Indonesia,,Rex Regum Qeon,False
11,RRQ,Skylar,Main,Gold,Indonesia,,Rex Regum Qeon,False
11,RRQ,VYN,Main,Roam,Indonesia,,Rex Regum Qeon,False
11,RRQ,Banana,Subs,EXP,Indonesia,,Rex Regum Qeon,False
11,RRQ,Renbo,Subs,Mid,Indonesia,,Rex Regum Qeon,False
11,RRQ,Arcadia,Former,,Philippines,Left,Rex Regum Qeon,False
11,RRQ,Fiel,Former,,Indonesia,Left,Rex Regum Qeon,False
11,RRQ,Bangduk,Staff,,Indonesia,Coach,Rex Regum Qeon,False
11,RRQ,Rave,Staff,,Indonesia,Analyst,Rex Regum Qeon,False
12,AE,Pai,Main,EXP,Indonesia,,Alter Ego,False
12,AE,Celiboy,Main,Jungle,Indonesia,,Alter Ego,False
12,AE,Udil,Main,Mid,Indonesia,,Alter Ego,False
12,AE,Nino,Main,Gold,Indonesia,,Alter Ego,False
12,AE,Rasy,Main,Roam,Indonesia,,Alter Ego,False
12,AE,Variety,Subs,Jungle,Indonesia,DNP,Alter Ego,False
12,AE,Rekt,Subs,Roam,Indonesia,,Alter Ego,False
12,AE,Caesius,Staff,,Indonesia,Head Coach,Alter Ego,False
12,AE,Nafari,Staff,,Indonesia,Analyst,Alter Ego,False
12,AE,Arss,Staff,,Indonesia,Analyst,Alter Ego,False
12,AURA,Aran,Main,EXP,Indonesia,,AURA Fire,False
12,AURA,VAN,Main,Jungle,Indonesia,,AURA Fire,False
12,AURA,Yehezkiel,Main,Mid,Indonesia,,AURA Fire,False
12,AURA,Kabuki,Main,Gold,Indonesia,,AURA Fire,False
12,AURA,High,Main,Roam,Indonesia,,AURA Fire,False
